channels,kernel_sizes,strides,paddings,dropouts_probabilities,Nhs,lr,weight_decay,avg_tr_loss,avg_val_loss,train_time [min]
"[8, 16]","[2, 4]","[3, 1]","[1, 1]","[0.1960090329123164, 0.4323895774582499]","[239, 121]",2.24239214109077E-05,4.73554878641327E-07,0.131193846464157,0.109801635146141,9.78027897874514
"[7, 16, 16]","[2, 2, 6]","[3, 1, 4]","[0, 1, 1]","[0.41879863223704805, 0.45629907954112503]","[158, 128]",0.001948846993435,1.00981765834809E-07,0.324606120586395,0.244900703430176,3.94417874614398
"[7, 16, 16]","[2, 2, 6]","[3, 1, 4]","[0, 1, 1]","[0.4084522104653412, 0.46660136000011576]","[148, 126]",0.002901597701002,1.31283881567665E-07,0.135730773210525,0.07821436226368,5.33481545050939
"[7, 13, 16]","[3, 2, 5]","[3, 1, 4]","[0, 1, 1]","[0.3871690390280469, 0.4753369163721768]","[103, 128]",0.003510272756211,1.03261514601263E-07,0.164935499429703,0.089648559689522,4.45989072124163
"[6, 13, 19]","[3, 2, 5]","[3, 1, 3]","[0, 1, 1]","[0.36233527161756957, 0.5304880136124868]","[120, 57]",0.007510132701519,1.07116343715449E-07,0.133342191576958,0.071586690843105,2.68651950558027
"[6, 16, 21]","[4, 2, 5]","[3, 2, 3]","[0, 1, 1]","[0.5095229221690329, 0.6973440693423687]","[139, 43]",0.013735793623169,6.00194786365731E-07,1.06547713279724,0.799558699131012,2.91995633443197
"[6, 4]","[4, 4]","[4, 2]","[0, 1]","[0.5025002147438997, 0.02723454342955145]","[82, 61]",0.011398863346718,1.2637781041269E-07,0.501254260540009,0.306484133005142,2.04593646725019
"[7, 12, 4]","[2, 2, 5]","[3, 3, 3]","[0, 1, 1]","[0.3163750732094456, 0.37078524191810913]","[67, 35]",0.006475801954876,1.25636083794623E-06,1.47599315643311,2.63349771499634,1.59090912342072
"[4, 15, 19]","[3, 3, 4]","[3, 1, 2]","[0, 1, 1]","[0.472604419965323, 0.6959952214334578]","[129, 69]",0.000948480374119,9.39179587648764E-06,0.085365764796734,0.04671785235405,7.47562316854795
"[6, 15, 19]","[3, 3, 4]","[3, 1, 2]","[0, 1, 1]","[0.45104846134192633, 0.6946289798343567]","[174, 114]",0.031020013458562,1.60847143193182E-05,1.50263035297394,1.3225873708725,3.91431758403778
"[7, 16, 13]","[2, 2, 5]","[3, 1, 3]","[0, 1, 1]","[0.5658738150054081, 0.4088446250799744]","[121, 29]",0.000328401643237,2.26561615501286E-07,0.194789290428162,0.085050754249096,7.65066939393679
"[5, 12, 13]","[2, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.3617994245016746, 0.3053520302276249]","[150, 82]",0.001422033355479,0.000120579494146,0.113559603691101,0.070203386247158,6.84507339795431
"[5, 11, 13]","[4, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.34721213708165216, 0.2784757145936477]","[126, 76]",0.001270513208816,0.000169632469837,0.096949368715286,0.058657199144363,5.29384425282478
"[5, 11, 18]","[4, 4, 3]","[2, 2, 3]","[0, 1, 1]","[0.4652206074511721, 0.2340933505553323]","[125, 67]",0.000195408409686,0.001366990115063,0.231616497039795,0.116375505924225,7.70396206577619
"[5, 12, 22]","[3, 3, 4]","[1, 3, 2]","[0, 1, 1]","[0.531018741364377, 0.2970640450592204]","[177, 74]",0.093174476603401,3.30614070800815E-05,2.30779886245728,2.31864309310913,2.72810440063477
"[5, 12, 13]","[3, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.37788603494850936, 0.3055156481268404]","[124, 85]",0.001221955913556,0.000145303613084,0.111394695937634,0.070753633975983,4.88654200832049
"[5, 14, 12]","[4, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.2869827474022809, 0.38924604495024134]","[156, 79]",0.007462372811577,0.000888693975606,0.132569923996925,0.082147523760796,3.52774969140689
"[4, 11, 15]","[2, 5, 5]","[2, 3, 3]","[0, 1, 1]","[0.36575088388609295, 0.31767347634172105]","[136, 92]",0.000177092611623,9.77645736656698E-05,0.325322270393372,0.194406613707542,6.80907318790754
"[6, 9, 19]","[3, 5, 3]","[2, 2, 3]","[0, 1, 1]","[0.20395607686442574, 0.2745889929847561]","[168, 64]",0.00187108209928,0.00226230412062,0.118287906050682,0.08343580365181,3.69435497522354
"[4, 9, 7]","[2, 4, 5]","[2, 1, 3]","[0, 1, 1]","[0.6259695955887743, 0.09821582079742205]","[113, 103]",0.027576495574625,0.00059364494607,1.46010613441467,1.30762100219727,1.94652878840764
"[5, 12, 14]","[3, 4, 4]","[2, 2, 3]","[0, 1, 1]","[0.3810667253129079, 0.27827989210653603]","[124, 83]",0.001132647677132,0.000156899793623,0.101142257452011,0.065653465688229,5.83889682094256
"[5, 11, 17]","[3, 5, 4]","[2, 2, 3]","[0, 1, 1]","[0.4007191329468569, 0.2596537514880877]","[154, 90]",0.00039674447691,0.000357077001168,0.115078404545784,0.069552853703499,6.21867570281029
