Nh1,Nh2,Nh3,Nh4,activation_function,lr,weight_decay,train_batch_size,patience,avg_train_loss,avg_val_loss
64,256,64,32,ReLU(),0.01,0.0,40,20,0.295972049236298,0.40858340263366705
128,16,128,16,Tanh(),0.0001,0.1,10,200,1.89785134792328,2.13166570663452
128,64,32,32,ReLU(),0.001,0.001,30,500,0.16742669045925102,0.331603556871414
256,16,64,32,ReLU(),0.0001,0.001,30,500,0.172863870859146,0.276303678750992
64,64,64,128,Tanh(),0.01,0.0,10,200,1.9757063388824498,1.90064120292664
32,64,128,32,ReLU(),0.0001,0.0,20,500,0.170384377241135,0.289366543292999
32,64,32,256,Tanh(),0.0001,0.001,30,200,0.24328219890594502,0.304428964853287
32,64,16,32,Tanh(),0.0001,0.001,40,20,0.6892341375350949,0.550953149795532
16,256,128,256,ReLU(),0.001,0.01,10,200,0.24556632339954398,0.36766391992569
16,128,128,32,ReLU(),0.0001,0.001,30,500,0.185615628957748,0.306545823812485
256,128,128,256,ReLU(),0.0001,0.0,10,20,0.28080677986145003,0.34684014320373496
256,16,16,256,ReLU(),0.001,0.0,20,500,0.15913088619709,0.35874480009078996
16,16,128,128,Tanh(),0.0001,0.1,20,20,0.7079326510429379,0.793041169643402
256,128,256,64,Sigmoid(),0.001,0.001,10,500,0.29925331473350497,0.36658239364624
32,32,32,32,Sigmoid(),0.01,0.0,10,500,0.234040543437004,0.356189638376236
16,256,128,128,ReLU(),0.01,0.0,20,200,0.247640520334244,0.41086420416832
256,32,32,64,ReLU(),0.01,0.001,30,500,0.186795994639397,0.34089216589927696
16,16,256,128,Sigmoid(),0.01,0.0,40,500,0.38353791832923906,0.7858904600143429
64,64,256,128,ReLU(),0.0001,0.0,20,500,0.17561499774456,0.31566780805587796
256,256,16,128,ReLU(),0.01,0.001,40,20,0.344549357891083,0.462840169668198
128,32,32,256,ReLU(),0.0001,0.0,30,500,0.18158738315105397,0.338306128978729
256,256,16,32,Tanh(),0.01,0.0,40,20,0.9791656732559201,1.3605123758316002
16,16,128,16,ReLU(),0.001,0.0,20,200,0.19594889879226685,0.3266207277774811
128,64,32,32,ReLU(),0.001,0.1,20,20,0.5994619131088257,0.7066060304641724
256,128,16,64,Sigmoid(),0.0001,0.1,10,20,3.79119873046875,3.7663702964782715
128,16,128,32,Sigmoid(),0.01,0.01,20,20,3.8353664875030518,3.879838466644287
32,256,128,32,ReLU(),0.0001,0.1,30,20,0.3929404020309448,0.4833138585090637
64,16,16,64,Sigmoid(),0.01,0.001,20,200,0.47387972474098206,0.9823416471481323
64,64,128,256,Sigmoid(),0.001,0.1,20,200,3.8277390003204346,3.8940558433532715
32,256,16,32,ReLU(),0.0001,0.01,20,500,0.21428421139717102,0.31956833600997925
16,256,256,256,Sigmoid(),0.001,0.1,40,500,3.8029403686523438,4.002130031585693
64,16,32,128,Tanh(),0.001,0.01,30,20,0.2991727888584137,0.37611478567123413
16,32,256,256,ReLU(),0.001,0.001,40,200,0.17578129470348358,0.41105812788009644
256,16,32,128,Sigmoid(),0.01,0.001,40,500,0.27742552757263184,0.3750118613243103
